Province,Type,Year,Value
Albacete,Internal migration,2019,-1.963310475
Alicante,Internal migration,2019,-0.14250747
Almeria,Internal migration,2019,-0.822898234
Alava,Internal migration,2019,0.012173818
Asturias,Internal migration,2019,-0.25587257
Avila,Internal migration,2019,-2.448866534
Badajoz,Internal migration,2019,-2.121842009
Baleares,Internal migration,2019,1.431455803
Barcelona,Internal migration,2019,-1.0999272
Bizkaia,Internal migration,2019,0.009658188
Burgos,Internal migration,2019,-0.45862654
Caceres,Internal migration,2019,-2.545120364
Cadiz,Internal migration,2019,-0.301252234
Cantabria,Internal migration,2019,0.500105692
Castellon,Internal migration,2019,2.22539887
Ciudad Real,Internal migration,2019,-2.968656091
Cordoba,Internal migration,2019,-0.790382826
A Coruna,Internal migration,2019,0.548353646
Cuenca,Internal migration,2019,-2.154589275
Gipuzkoa,Internal migration,2019,-0.352736155
Girona,Internal migration,2019,1.259386302
Granada,Internal migration,2019,-0.206141274
Guadalajara,Internal migration,2019,4.370333958
Huelva,Internal migration,2019,-0.446254783
Huesca,Internal migration,2019,2.262494936
Jaen,Internal migration,2019,-3.775459355
Leon,Internal migration,2019,-1.954465302
Lleida,Internal migration,2019,0.171056342
Lugo,Internal migration,2019,-1.015926318
Madrid,Internal migration,2019,0.535406123
Malaga,Internal migration,2019,1.788583236
Murcia,Internal migration,2019,-0.373223177
Navarra,Internal migration,2019,0.588450735
Ourense,Internal migration,2019,-0.475912628
Palencia,Internal migration,2019,-0.942412952
Las Palmas,Internal migration,2019,-0.186167493
Pontevedra,Internal migration,2019,0.802685812
La Rioja,Internal migration,2019,1.89860737
Salamanca,Internal migration,2019,-2.483516152
Tenerife,Internal migration,2019,0.367071716
Segovia,Internal migration,2019,-1.129723413
Sevilla,Internal migration,2019,-0.118813139
Soria,Internal migration,2019,1.093908714
Tarragona,Internal migration,2019,3.052310283
Teruel,Internal migration,2019,-0.571166608
Toledo,Internal migration,2019,3.491034258
Valencia,Internal migration,2019,1.040693587
Valladolid,Internal migration,2019,0.224898796
Zamora,Internal migration,2019,-2.984901614
